Codice;Ragione Sociale;Indirizzo;CAP;Località;Provincia;Nazione;Codice Fiscale;Partiva IVA;Pagamento;Fido;Tipologia cliente;
03845;ARTIGIANA COMPENSATI SRL                ;VIA F.LLI CAIROLI 7                     ;40055;VILLANOVA CASTENASO                ;BO;ITA;02219030372     ;00561691205;RI.BA   90 gg fm              ;        19800,00;DO                            ;
03054;ATTILIO TRUCCO SRL                      ;C.SO SARDEGNA 105/R                     ;16142;GENOVA                             ;GE;ITA;01157460104     ;01157460104;RI.BA   60 gg fm              ;         4278,00;SPI                           ;
00227;AUCHAN SPA                              ;STRADA 8 PALAZZO N                      ;20089;ROZZANO                            ;MI;ITA;03349310965     ;03349310965;Bonifico B. 60 gg fm          ;      1180009,00;GD                            ;
05111;AUTOFFICINA MENGHINELLI STEFANO         ;VIA PRIMO MAGGIO 4                      ;06054;FRATTA TODINA                      ;PG;ITA;03236320549     ;03236320549;Anticipato                    ;            0,00;Trade                         ;
02094;AUTORICAMBI F.LLI CUZZONI SNC           ;VIA A. BRAMBILLA 92                     ;27100;PAVIA                              ;PV;ITA;01161460181     ;01161460181;RI.BA   60 gg fm              ;        53000,00;SPI                           ;
05260;BATTERIE A.F.A. DI FOGANTE ROBERTO & C. ;VIA IV NOVEMBRE 153                     ;62010;APPIGNANO                          ;MC;ITA;00858730435     ;00858730435;RI.BA   60 gg fm              ;        16000,00;Trade                         ;
00797;BRAGALINI MARIO SNC                     ;VIA PIETRO COLLETTA 47                  ;20135;MILANO                             ;MI;ITA;09054280152     ;09054280152;RI.BA   60 gg fm              ;            0,00;Agente                        ;
04331;BRICO APPIA SRL UNIPERSONALE            ;VIA NAPOLI 10                           ;81036;CARINARO                           ;CE;ITA;03798920611     ;03798920611;Anticipato                    ;         3000,00;DO                            ;
01570;BRICOCENTER ITALIA SRL                  ;STRADA 8 PALAZZO N                      ;20089;ROZZANO                            ;MI;ITA;05602640962     ;05602640962;Bonifico B. 120 gg fm         ;      7500000,00;DO                            ;
01990;BRICOMAN ITALIA SRL                     ;VIA MARCONI 24                          ;20089;ROZZANO                            ;MI;ITA;05602670969     ;05602670969;Bonifico B. 120 gg fm         ;      2331818,00;GD                            ;
02988;BS LUBRIFICANTI SRL                     ;VIA C. DRAGONI 32                       ;52037;SANSEPOLCRO                        ;AR;ITA;02049820513     ;02049820513;RI.BA   30 gg fm              ;        62500,00;SPI                           ;
03097;C.A.T.I. SPA                            ;VIA PRETEGIANI 27                       ;10078;VENARIA                            ;TO;ITA;03748340019     ;03748340019;RI.BA   90 gg fm              ;       100000,00;SPI                           ;
04255;C.I.D.O.L. LUBRIFICANTI SRL             ;C.DA SANTA GIULIANA 59                  ;63010;MASSIGNANO                         ;AP;ITA;01578200444     ;01578200444;RI.BA   90 gg fm              ;        31000,00;SPI                           ;
05064;CASALI CARS & TRUCKS SRL                ;STRADA STATALE ADRIATICA KM 326,20      ;60025;LORETO                             ;AN;ITA;01732280431     ;01732280431;Anticipato                    ;         2000,00;Trade                         ;
02628;CIRE SPA                                ;CORSO INDIPENDENZA 190                  ;95122;CATANIA                            ;CT;ITA;02231250875     ;02231250875;RI.BA   60 gg fm              ;       100000,00;Modulo Valore Più             ;
02092;COLZANI SRL A SOCIO UNICO               ;VIA MILANO 40                           ;20038;SEREGNO                            ;MI;ITA;04598820969     ;04598820969;RI.BA   60 gg fm              ;        30000,00;Modulo Valore Più             ;
02476;COMEL SPA                               ;VIA DELLA COOPERAZIONE 32               ;40129;BOLOGNA                            ;BO;ITA;00302190376     ;00302190376;RI.BA   60 gg fm              ;       100000,00;SPI                           ;
01188;CONAD DEL TIRRENO SOCIETA' COOPERATIVA  ;VIA BURE VECCHIA NORD 10                ;51100;LOC.  SANT' AGOSTINO   PISTOIA     ;PT;ITA;00519660476     ;00519660476;Bonifico B. 60 gg fm          ;       200000,00;GD                            ;
00987;COOP ADRIATICA SOC.COOP. A.R.L.         ;VIA DI VILLANOVA 29/7                   ;40055;VILLANOVA DI CASTENASO             ;BO;ITA;00779480375     ;00779480375;Bonifico B. 90 gg fm          ;      3495000,00;GD                            ;
00189;COOP CONS. NORDEST SOC. COOP. VA.       ;VIA RAGAZZI DEL '99  N. 51              ;42100;REGGIO EMILIA                      ;RE;ITA;00148780356     ;00148780356;Bonifico B. 90 gg fm          ;      7500000,00;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;VIA ALDO MORO 1                         ;20090;PIEVE EMANUELE                     ;MI;ITA;04117520967     ;04117520967;Bonifico B. 90 gg fm          ;       815000,00;GD                            ;
01187;COOP ESTENSE SOC. COOP. A.R.L.          ;VIALE VIRGILIO 20                       ;41123;MODENA - FRAZIONE FRETO            ;MO;ITA;00162660369     ;00162660369;Bonifico B. 90 gg fm          ;      2100000,00;GD                            ;
05117;COOPAR CONSORZIO RICAMBISTI             ;VIALE DELL'ARTIGIANATO II TRAV. A DESTRA;70026;MODUGNO                            ;BA;ITA;06390540729     ;06390540729;RI.BA   30 gg fm              ;       160000,00;SPI                           ;
01575;CORA SPA                                ;VIA CORRIERA 14                         ;48010;BARBIANO - COTIGNOLA               ;RA;ITA;00225830397     ;00225830397;Bonifico B. 60 gg fm          ;        60000,00;Modulo Valore Più             ;
02036;D.R. SRL                                ;VIA GIULIO NATTA  9/B                   ;10148;TORINO                             ;TO;ITA;00459380010     ;00459380010;RI.BA   60 gg fm              ;       190000,00;SPI                           ;
05278;DEAL SRL                                ;V.LE CONCA D'ORO 300/A                  ;00141;ROMA                               ;RM;ITA;12643861003     ;12643861003;RI.BA 120 gg fm               ;            0,00;DO                            ;
02046;DEAR SRL                                ;VIA PORTICO 2                           ;24050;ORIO AL SERIO                      ;BG;ITA;00746120161     ;00746120161;RI.BA   60 gg fm              ;        15000,00;SPI                           ;
01660;DELLA ROSCIA LUBRIFICANTI SRL           ;VIA MONOCCHIA 8                         ;62019;RECANATI                           ;MC;ITA;01636920439     ;01636920439;RI.BA   60 gg fm              ;        26776,00;Modulo Valore Più             ;
00444;DEMAUTO SPA                             ;VIA P. LA ROTELLA 4                     ;70124;BARI                               ;BA;ITA;02585130723     ;02585130723;RI.BA   90 gg fm              ;       719067,00;SPI                           ;
03700;DIMAR SPA                               ;VIA CUNEO 34                            ;12060;RORETO DI CHERASCO                 ;CN;ITA;00294760046     ;00294760046;Bonifico B. 90 gg fm          ;        60000,00;DO                            ;
02025;DRS DISTRIBUZIONE RICAMBI E SERVIZI SpA ;VIALE CARDUCCI 72                       ;57124;LIVORNO                            ;LI;ITA;01515190492     ;01515190492;RI.BA   60 gg fm              ;       100000,00;SPI                           ;
00251;E.R.A.-ESCLUSIVITA' RAPPRESEN AUTOMO SRL;VIA BELGIO  3  -  ZONA INDUSTRIALE      ;35127;PADOVA                             ;PD;ITA;00243830288     ;00243830288;Bonifico B. 90 gg fm          ;        69512,00;Texaco                        ;
05113;ESPOSITO EBREO PASQUALE                 ;CONTRADA LAGO SOPRA STRADA              ;87020;FUSCALDO                           ;CS;ITA;SPSPQL62C16A773K;01249570787;Bonifico B. 60 gg fm          ;         9800,00;Trade                         ;
00294;EUROBRICO SPA                           ;VIA DELLA STAZIONE 100                  ;38059;VILLA AGNEDO                       ;TN;ITA;02116180304     ;02116180304;RI.BA   90 gg fm              ;       664773,00;DO                            ;
04262;FERRAMENTA LONGHIN                      ;VIA A. DA BASSANO 2                     ;35135;PADOVA                             ;PD;ITA;01033070283     ;01033070283;RI.BA   60 gg fm              ;         2000,00;DO                            ;
00949;G.D. SRL                                ;STRADA MORANE 500                       ;41100;MODENA                             ;MO;ITA;01966590042     ;01860650025;Bonifico B. 60 gg fm          ;       120000,00;GD                            ;
05137;GLOBAL AUTO SRL                         ;VIALE GORIZIA 2                         ;63012;CUPRA MARITTTIMA                   ;AP;ITA;01982770446     ;01982770446;RI.BA   60 gg fm              ;         2000,00;Trade                         ;
01014;GRANCASA SPA                            ;VIA SENATO 6                            ;20121;MILANO                             ;MI;ITA;01640390165     ;09831950150;Bonifico B. 90 gg fm          ;       186750,00;GD                            ;
04342;GUARALDI STEFANO                        ;VIA OLINDO MALAGODI 15                  ;44042;CENTO                              ;FE;ITA;GRLSFN59M22C469J;01639921202;RI.BA   60 gg fm              ;         4600,00;Texaco                        ;
05020;HOBBY AUTO DI TOSTI MAURIZIO            ;VIALE DEL COMMERCIO 16                  ;63100;ASCOLI PICENO                      ;AP;ITA;01537000448     ;01537000448;RI.BA   60 gg fm              ;        24338,00;Trade                         ;
04061;HYDRO ELETTRO COLOR CENTER SAS          ;VIA SAN MARTINO 65                      ;90100;PALERMO                            ;PA;ITA;05097760820     ;05097760820;RI.BA   60 gg fm              ;        15000,00;DO                            ;
00123;IPER MONTEBELLO SPA                     ;VIA PONCHIELLI 7                        ;20129;MILANO                             ;MI;ITA;03585750155     ;03585750155;Bonifico B. 60 gg fm          ;      9725350,00;GD                            ;
03721;L'ANGOLO DEL MARE DI AVELLINO ALESSIO   ;VIA NAZARIO SAURO                       ;08029;SINISCOLA "LA CALETTA"             ;NU;ITA;01136920913     ;01136920913;RI.BA   60 gg fm              ;        15000,00;DO                            ;
02234;LA PREALPINA DIVISIONE COMMERCIO SPA    ;VIA TORINO 12                           ;10060;ROLETTO                            ;TO;ITA;07008600012     ;07008600012;RI.BA   90 gg fm              ;            0,00;DO                            ;
04094;LAEMA SRL                               ;VIA LEOPOLDO LUCCHI 525                 ;47023;CESENA                             ;FC;ITA;03542640408     ;03542640408;Bonifico B. 60 gg fm          ;        71000,00;GD                            ;
04252;LUBRITALIA SPA                          ;C.DA SAN MARCO DEI LUPINI               ;74019;PALAGIANO                          ;TA;ITA;00307850735     ;00307850735;RI.BA   90 gg fm              ;       113400,00;Texaco                        ;
01051;LUBRITEX SRL DI MARCO ROMEO             ;VIA A. GRAMSCI 10                       ;16010;MANESSENO SANT' OLCESE             ;GE;ITA;02829780101     ;02829780101;RI.BA   60 gg fm              ;        13079,00;Modulo Valore Più             ;
05152;LUCIANO GUBBIONI MATERIALE EDILE FERR.  ;VIA VALLE MOLIBNA                       ;05026;CASTEL DELL'AQUILA MONTECASTRILLI  ;TR;ITA;GBBLCN54A07F457M;00215430554;RI.BA   60 gg fm              ;         6500,00;DO                            ;
02163;M. BUSINESS SRL                         ;VIA MOLINO ROSSO 9/C                    ;40026;IMOLA                              ;BO;ITA;09561521007     ;09561521007;RI.BA 120 gg fm               ;        55500,00;DO                            ;
00927;MARKETING TREND SPA                     ;V.LE FAMAGOSTA 75                       ;20142;MILANO                             ;MI;ITA;08589490153     ;08589490153;Bonifico B. 60 gg fm          ;        60014,00;GD                            ;
02396;MEROLLI SAS DI MASTRACCI ANNA MARIA     ;VIA CORNETE - ANGOLO STRADA A.S.I.      ;03024;CEPRANO                            ;FR;ITA;01660450600     ;01660450600;RI.BA   60 gg fm              ;        15000,00;DO                            ;
00569;METRO ITALIA CASH&CARRY MAG.11 CESANO B.;VIA B. CROCE                            ;20090;CESANO BOSCONE                     ;MI;ITA;02827030962     ;02827030962;Bonifico B. 60 gg fm          ;            0,00;GD                            ;
00530;METRO ITALIA CASH&CARRY MAG.12 CASTELL. ;V.LE BORRI 39                           ;21053;CASTELLANZA                        ;VA;ITA;02827030962     ;02827030962;Bonifico B. 60 gg fm          ;            0,00;GD                            ;
00546;METRO ITALIA CASH&CARRY MAG.13 TORINO   ;VIA VERONESE - ANG. VIA VANINETTI       ;10148;TORINO                             ;TO;ITA;02827030962     ;02827030962;Bonifico B. 60 gg fm          ;            0,00;GD                            ;
00590;METRO ITALIA CASH&CARRY MAG.15 RM LA RUS;GRANDE RACCORDO ANULARE KM. 36,300      ;00155;LA RUSTICA ROMA                    ;RM;ITA;02827030962     ;02827030962;Bonifico B. 60 gg fm          ;            0,00;GD                            ;
00881;METRO ITALIA CASH&CARRY MAG.21 RM AURE  ;G.R.A. USCITA 33 - VIA DEL PESCACCIO 90 ;00166;ROMA AURELIA                       ;RM;ITA;02827030962     ;02827030962;Bonifico B. 60 gg fm          ;            0,00;GD                            ;
01020;METRO ITALIA CASH&CARRY MAG.32 ELMAS    ;VIA ELMAS 208                           ;09132;ELMAS CAGLIARI                     ;CA;ITA;02827030962     ;02827030962;Bonifico B. 60 gg fm          ;            0,00;GD                            ;
05043;MG RICAMBI SRL                          ;VIA PONTIDA 6                           ;63039;SAN BENEDETTO DEL TRONTO           ;AP;ITA;01823630445     ;01823630445;RI.BA   60 gg fm              ;         9000,00;Trade                         ;
02905;MONTIPO' CARLO DI MONTIPO' MORENO & C.  ;VIA DELL'INDUSTRIA 238                  ;41028;SERRAMAZZONI                       ;MO;ITA;01579760362     ;01579760362;RI.BA   90 gg fm              ;        72028,00;SPI                           ;
05195;MRC SRL                                 ;Z.I. LOC. BASSO MARINO SNC              ;63100;ASCOLI PICENO                      ;AP;ITA;01989830441     ;01989830441;Anticipato                    ;         5000,00;Trade                         ;
04585;MY BRICO SRL                            ;VIA SAN VINCENZO 24                     ;67100;PAGANICA                           ;AQ;ITA;01904450663     ;01904450663;RI.BA   90 gg fm              ;         8182,00;DO                            ;
01167;NORDICONAD SOC. COOP.                   ;VIA DANIMARCA 80                        ;41100;MODENA                             ;MO;ITA;02186650368     ;02186650368;Bonifico B. 60 gg fm          ;        15000,00;GD                            ;
00250;OVAM SPA                                ;VIA NEWTON 12                           ;20016;PERO                               ;MI;ITA;00745100156     ;00745100156;Bonifico B. 60 gg fm          ;       827017,00;SPI                           ;
02897;PIEFFE OIL SAS DI PIZZI LUIGI E C.      ;VIA CACCIAMALI 58                       ;25125;BRESCIA                            ;BS;ITA;01470060177     ;01470060177;RI.BA   60 gg fm              ;        55987,00;SPI                           ;
01132;PNEUS INTERNATIONAL SRL                 ;BORGO SAN MARTINO 48                    ;12042;BRA                                ;CN;ITA;02223810041     ;02223810041;RI.BA   60 gg fm              ;        15000,00;Modulo Valore Più             ;
04316;PRC DISTRIBUZIONE SRL                   ;VIA UGO BASSI 77/1                      ;44042;CENTO                              ;FE;ITA;02011801202     ;02011801202;RI.BA   90 gg fm              ;         5000,00;DO                            ;
01619;PUDDU PASQUALE SRL                      ;VIA GIULIO DOLCETTA 5                   ;09122;CAGLIARI                           ;CA;ITA;03116030929     ;03116030929;Bonifico B. 90 gg fm          ;        76332,00;Texaco                        ;
05183;RICAMBI E ACCESSORI DI MARINO GIUSEPPE  ;C.DA CATALDO 162                        ;87010;MONGRASSANO                        ;CS;ITA;MRNGPP71D26D086S;01918500784;RI.BA   90 gg fm              ;         5000,00;Trade                         ;
04299;RISPARMIO SRL                           ;CORSO VERCELLI 321                      ;13045;GATTINARA                          ;VC;ITA;02524230022     ;02524230022;RI.BA   90 gg fm              ;         2000,00;DO                            ;
04955;ROBERTO ABATE SPA                       ;C.DA VALCORRENTE - C.C. ETNAPOLIS       ;95032;BELPASSO                           ;CT;ITA;00793650870     ;00793650870;Bonifico B. 120 gg fm         ;     14000000,00;DO                            ;
03418;RUINI ROMANO                            ;VIA VOLTA 33                            ;42013;CASALGRANDE                        ;RE;ITA;RNURMN37T15B893H;00009450354;RI.BA   60 gg fm              ;        15000,00;DO                            ;
05078;S.C. WASH SRL                           ;VIA BARTOCCI 1/C                        ;05100;TERNI                              ;TR;ITA;01496450550     ;01496450550;RI.BA   60 gg fm              ;         2001,00;Trade                         ;
01270;S.S.C. SOCIETA' SVILUPPO COMMERCIALE SRL;VIA CALDERA 21                          ;20153;MILANO                             ;MI;ITA;08652300156     ;08652300156;Bonifico B. 60 gg df          ;       160792,00;GD                            ;
00295;SAVIDIS SRL                             ;VIA SALUZZO 65                          ;12038;SAVIGLIANO                         ;CN;ITA;02969180047     ;02969180047;Bonifico B. 60 gg fm          ;        15000,00;GD                            ;
05355;SELFITALIA SRL                          ;INTERPOR. SITO NORD/UNDICESIMA STRADA  7;10040;RIVALTA DI TORINO                  ;TO;ITA;08759380010     ;08759380010;Bonifico B. 180 gg fm         ;       147000,00;DO                            ;
04935;SHUNFA SRL                              ;VIA MARTIRI DELLA LIBERTA' 3            ;13854;QUAREGNA                           ;BI;ITA;02392040024     ;02392040024;RI.BA 120 gg fm               ;            0,00;DO                            ;
02917;TECNOIL DI BENATTI RAG. CARLO           ;VIA ALDO MORO 65                        ;46049;VOLTA MANTOVANA                    ;MN;ITA;BNTCRL55E03E078J;01795380201;RI.BA   90 gg fm              ;        25000,00;SPI                           ;
05035;TRASIMENO AUTORICAMBI DI MARCHETTI & C. ;VIA DELLA STAZIONE                      ;06061;CASTIGLIONE DEL LAGO               ;PG;ITA;02044110548     ;02044110548;Anticipato                    ;        29000,00;Trade                         ;
01639;TRIO SRL                                ;VIA PIAVE 130/A                         ;31044;MONTEBELLUNA                       ;TV;ITA;03490830266     ;03490830266;RI.BA   90 gg fm              ;       800000,00;GD                            ;
00992;UNES CENTRO SOCIETA' COOPERATIVA        ;VIA PONCHIELLI 7                        ;20129;MILANO                             ;MI;ITA;00813020153     ;00813020153;Bonifico B. 90 gg fm          ;        30000,00;GD                            ;
03056;UPEM SPA                                ;VIALE DELLE NAZIONI 142                 ;41122;MODENA                             ;MO;ITA;00362100364     ;00362100364;RI.BA   60 gg fm              ;        50000,00;SPI                           ;
02008;W.A.G. CAR SERVICE SRL                  ;VIA KULISCIOFF 9                        ;20152;MILANO                             ;MI;ITA;06448820966     ;06448820966;RI.BA   60 gg fm              ;         4159,00;Agente                        ;
04904;ZANELLA DANIELE                         ;PIAZZA MAFALDA 9                        ;31030;BREDA DI PIAVE                     ;TV;ITA;ZNLDNL58514B128J;03838760266;RI.BA   60 gg fm              ;         3000,00;DO                            ;
03610;TAGLIANDODIRETTO.IT SRL                 ;VIA ANTONIO BANFI 5                     ;20122;MILANO                             ;MI;ITA;07580480965     ;07580480965;Bonifico B. 120 gg fm         ;            0,00;DO                            ;
00782;METRO ITALIA CASH&CARRY MAG.23 MONCALIER;CORSO SAVONA 97                         ;10024;MONCALIERI                         ;TO;ITA;02827030962     ;02827030962;Bonifico B. 60 gg fm          ;            0,00;GD                            ;
01234;PAM PANORAMA SPA                        ;VIA DEL COMMERCIO 27                    ;30038;SPINEA                             ;VE;ITA;00826770059     ;02036440275;Bonifico B. 90 gg fm          ;      1372500,00;GD                            ;
00957;PIANETA COSPEA SRL                      ;VIA DEL RAME - ZONA IND.                ;06077;PONTE FELCINO                      ;PG;ITA;01967130541     ;01967130541;Bonifico B. 60 gg fm          ;       100000,00;GD                            ;
04152;ADRIATICA METALLI E FERRAMENTA SRL      ;VIA SURBO 68 - ZONA INDUSTRIALE         ;73019;TREPUZZI                           ;LE;ITA;04216520751     ;04216520751;RI.BA   60 gg fm              ;         2000,00;DO                            ;
01494;AGRIDORIA SNC DI SECHI CARLO & C.       ;S.P. VALLEDORIA/S.M. COGHINAS KM.2      ;07039;VALLEDORIA                         ;SS;ITA;01800710905     ;01800710905;RI.BA 120 gg fm               ;        15000,00;DO                            ;
04123;AGRIFARMA PICCINNI SRL                  ;CORSO APULIA 57                         ;73039;TRICASE                            ;LE;ITA;03228230755     ;03228230755;RI.BA   60 gg fm              ;       250000,00;DO                            ;
04977;AGRIMOTOR SRL                           ;VIALE ALDO MORO 123/A                   ;70043;MONOPOLI                           ;BA;ITA;06023690727     ;06023690727;RI.BA   60 gg fm              ;            0,00;DO                            ;
04903;ALPAKERO SRL                            ;VIA DON MINZONI 2/4                     ;57121;LIVORNO                            ;LI;ITA;00197090491     ;00197090491;RI.BA   60 gg fm              ;       380000,00;Texaco                        ;
02393;ASTORI SPA                              ;VIA CALCINATELLA 7                      ;25018;MONTICHIARI                        ;BS;ITA;00887330173     ;00585400989;RI.BA   60 gg fm              ;        50000,00;DO                            ;
05375;AUTOACCESSORI E RICAMBI CECCHETTI LIDIA ;VIA TIBERINA 108                        ;05021;ACQUASPARTA                        ;TR;ITA;CCCLDI52H50A045Q;00261420558;RI.BA   60 gg fm              ;         5700,00;Trade                         ;
05093;AUTOFFICINA MECCANICA MORELLI RAFFAELE  ;VIA MARINELLA 7                         ;87030;TORREMEZZO DI FALCONARA            ;CS;ITA;MRLRFL77S02G317W;02540950785;Bonifico B. 60 gg fm          ;            0,00;Trade                         ;
05149;AUTOFFICINA SCELBO SAVERIO              ;VIA MORTELLA SNC                        ;88044;MARCELLINARA                       ;CZ;ITA;SCRSVR0D26E925S ;01787720794;Bonifico B. 60 gg fm          ;         2000,00;Trade                         ;
02032;AUTORICAL GROUP SCRL                    ;VIA PANEBIANCO 229                      ;87100;COSENZA                            ;CS;ITA;02471970786     ;02471970786;RI.BA   60 gg fm              ;         6200,00;SPI                           ;
01088;BARONI LEGEND DI BARONI WALTER          ;VIA PACINOTTI 14                        ;20094;CORSICO                            ;MI;ITA;BRNWTR69S09F205O;11574600158;Bonifico B. 60 gg df          ;            0,00;Agente                        ;
02863;BERICA CARBURANTI SRL                   ;VIA DANTE ALIGHIERI 35/A                ;36021;PONTE DI BARBARANO                 ;VI;ITA;00205030240     ;00205030240;RI.BA   60 gg fm              ;        60000,00;Modulo Valore Più             ;
03534;BIG SHOPPING SRL                        ;PIAZZALE EUROPA 1                       ;10044;PIANEZZA                           ;TO;ITA;03666100163     ;03666100163;RI.BA   90 gg fm              ;         2000,00;DO                            ;
00236;BRICO POINT SRL                         ;VIA DELL'INDUSTRIA 18                   ;36071;ARZIGNANO                          ;VI;ITA;03115500245     ;03115500245;RI.BA   90 gg fm              ;        30000,00;DO                            ;
03294;BRICOEUROPA SRL                         ;VIA CALAMATTIA 23                       ;09134;CAGLIARI                           ;CA;ITA;02924370923     ;02924370923;RI.BA   90 gg fm              ;         5000,00;DO                            ;
04995;BRICOLONE SRL                           ;VIA CALAMATTIA 23                       ;09134;CAGLIARI                           ;CA;ITA;03512890926     ;03512890926;RI.BA   90 gg fm              ;            0,00;DO                            ;
03289;BRICOPIU' SRL                           ;VIA CALAMATTIA 23                       ;09134;CAGLIARI                           ;CA;ITA;02921350928     ;02921350928;RI.BA   90 gg fm              ;         5000,00;DO                            ;
03293;BRICOSETTIMO SRL                        ;VIA CALAMATTIA  23                      ;09134;CAGLIARI                           ;CA;ITA;03139950921     ;03139950921;RI.BA   90 gg fm              ;         5000,00;DO                            ;
04387;C. CANTINI & C. SPA                     ;VIA DEI MAGAZZINI GENERALI 38           ;00154;ROMA                               ;RM;ITA;02117371001     ;02117371001;RI.BA   90 gg fm              ;        63000,00;DO                            ;
02636;CAPALDO ANTONIO SPA                     ;VIA CAMMAROTA 5                         ;83042;ATRIPALDA                          ;AV;ITA;00081390643     ;00081390643;RI.BA   90 gg fm              ;      2278421,00;DO                            ;
05182;CASA DELLA BATTERIA DI PEZZI ANDREA     ;VIA ADUA 42                             ;42124;REGGIO EMILIA                      ;RE;ITA;02632320350     ;02632320350;Anticipato                    ;            0,00;Trade                         ;
04351;CENTRO LUBRIFICANTI DI BORSATO SILVANO  ;VIA ODERZO 48                           ;31040;MANSUE'                            ;TV;ITA;BRSSVN65H18F999B;02255170264;RI.BA   90 gg fm              ;        25559,00;Texaco                        ;
03505;CENTRO SERVIZI SAN NICOLA SRL           ;VIA TAVERNELLE 11                       ;36077;ALTAVILLA VICENTINA                ;VI;ITA;03658790245     ;03658790245;RI.BA   60 gg fm              ;            0,00;Modulo Valore Più             ;
03287;CFADDA 2 SRL                            ;VIA CALAMATTIA 23                       ;09134;CAGLIARI                           ;CA;ITA;02579330925     ;02579330925;RI.BA   90 gg fm              ;        30000,00;DO                            ;
03261;CFADDA SRL                              ;VIA CALAMATTIA 16                       ;09134;CAGLIARI                           ;CA;ITA;00613980929     ;00613980929;RI.BA   90 gg fm              ;        35000,00;DO                            ;
03292;CIAO BRICO SRL                          ;VIA CALAMATTIA 23                       ;09134;CAGLIARI                           ;CA;ITA;02792040921     ;02792040921;RI.BA   90 gg fm              ;         5000,00;DO                            ;
05373;CITROEN CANTALUPO GIOVANNI              ;VIALE BRANDOLINI 40/42                  ;84091;BATTIPAGLIA                        ;SA;ITA;00417970654     ;00417970654;Bonifico B. 60 gg fm          ;         9800,00;Trade                         ;
04658;CIVITAGEST SRL IPER                     ;VIALE REGINA MARGHERITA 42              ;00198;ROMA                               ;RM;ITA;09177711000     ;09177711000;RI.BA   60 gg fm              ;         5000,00;DO                            ;
04751;DI MAGGIO ANGELA                        ;VIA MONSIGNOR ONOFRIO TRIPPODO 4        ;90030;MEZZOJUSO                          ;PA;ITA;DMGNGL60B68G282H;05197210825;RI.BA   60 gg fm              ;         2000,00;DO                            ;
