Cod.Cliente;Ragione sociale;Tipo pag.;Causale;Descrizione;Anno documento;Num.Documento;Num.Riferimento;Data registrazione;Data documento;Data scadenza;Valuta;Importo +/-(dare/avere);Condizioni pagamento;Causale movimento;Tipologia cliente;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036349;00036349;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          594,34;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036350;00036350;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          498,35;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036351;00036351;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          405,24;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036352;00036352;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1013,09;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036353;00036353;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          405,24;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036354;00036354;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          620,15;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036355;00036355;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1013,09;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036356;00036356;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          405,24;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036357;00036357;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          607,85;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036358;00036358;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          146,25;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036359;00036359;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          303,93;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036360;00036360;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          405,24;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036361;00036361;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          303,93;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036362;00036362;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          454,13;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036363;00036363;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          464,87;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036364;00036364;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          366,59;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036365;00036365;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1025,34;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036366;00036366;30/09/2014;30/09/2014;31/12/2014;Euro                          ;           57,17;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036367;00036367;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          157,28;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036368;00036368;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          672,42;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
05005;LDD SPA A SOCIO UNICO - NUOVO COD. 3297 ;B;FVE;Fattura emessa LDD SPA A SOCIO UNICO;2014;036369;00036369;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          696,86;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036370;00036370;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          294,56;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036371;00036371;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          819,55;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036372;00036372;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          206,40;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036373;00036373;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          293,75;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
05279;ALGA SRL                                ;W;FVE;Fattura emessa ALGA SRL;2014;036374;00036374;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         2050,45;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
05351;CUTINI SRL                              ;W;FVE;Fattura emessa CUTINI SRL;2014;036375;00036375;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         1836,89;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
04957;PALMERINI AUTORICAMBI SRL               ;W;FVE;Fattura emessa PALMERINI AUTORICAMBI SRL;2014;036376;00036376;30/09/2014;30/09/2014;31/10/2014;Euro                          ;         3481,88;RI.BA   30 gg fm              ;Fattura emessa                ;Texaco                        ;
04957;PALMERINI AUTORICAMBI SRL               ;W;ERB;Emesso ricevuta bancaria 30/09/2014 036376  31/10/2014;2014;000060;00036376;10/10/2014;10/10/2014;31/10/2014;Euro                          ;        -3481,88;RI.BA   30 gg fm              ;Emesso ricevuta bancaria      ;Texaco                        ;
02985;A.F. PETROLI SPA                        ;W;FVE;Fattura emessa A.F. PETROLI SPA;2014;036377;00036377;30/09/2014;30/09/2014;31/10/2014;Euro                          ;          393,52;RI.BA   30 gg fm              ;Fattura emessa                ;SPI                           ;
02985;A.F. PETROLI SPA                        ;W;ERB;Emesso ricevuta bancaria 30/09/2014 036377  31/10/2014;2014;000060;00036377;10/10/2014;10/10/2014;31/10/2014;Euro                          ;         -393,52;RI.BA   30 gg fm              ;Emesso ricevuta bancaria      ;SPI                           ;
04184;A.M.E.S. SRL                            ;W;FVE;Fattura emessa A.M.E.S. SRL;2014;036378;00036378;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          226,55;RI.BA   60 gg fm              ;Fattura emessa                ;DO                            ;
05357;AGRI POWER PLUS SOCIETA' AGRICOLA SRL   ;W;FVE;Fattura emessa AGRI POWER PLUS SOCIETA' AGRIC;2014;036379;00036379;30/09/2014;30/09/2014;31/10/2014;Euro                          ;          718,97;RI.BA   30 gg fm              ;Fattura emessa                ;Texaco                        ;
05357;AGRI POWER PLUS SOCIETA' AGRICOLA SRL   ;W;ERB;Emesso ricevuta bancaria 30/09/2014 036379  31/10/2014;2014;000060;00036379;10/10/2014;10/10/2014;31/10/2014;Euro                          ;         -718,97;RI.BA   30 gg fm              ;Emesso ricevuta bancaria      ;Texaco                        ;
04965;AL PENTOLONE SRL                        ;W;FVE;Fattura emessa AL PENTOLONE SRL;2014;036380;00036380;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          120,05;RI.BA   60 gg fm              ;Fattura emessa                ;DO                            ;
03845;ARTIGIANA COMPENSATI SRL                ;W;FVE;Fattura emessa ARTIGIANA COMPENSATI SRL;2014;036381;00036381;30/09/2014;30/09/2014;31/12/2014;Euro                          ;           54,66;RI.BA   90 gg fm              ;Fattura emessa                ;DO                            ;
03054;ATTILIO TRUCCO SRL                      ;W;FVE;Fattura emessa ATTILIO TRUCCO SRL;2014;036382;00036382;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          100,14;RI.BA   60 gg fm              ;Fattura emessa                ;SPI                           ;
00227;AUCHAN SPA                              ;B;FVE;Fattura emessa AUCHAN SPA;2014;036383;00036383;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         2199,03;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
00227;AUCHAN SPA                              ;B;FVE;Fattura emessa AUCHAN SPA;2014;036384;00036384;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         2090,96;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
00227;AUCHAN SPA                              ;B;FVE;Fattura emessa AUCHAN SPA;2014;036385;00036385;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         1518,36;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
00227;AUCHAN SPA                              ;B;FVE;Fattura emessa AUCHAN SPA;2014;036386;00036386;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         1289,30;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
05111;AUTOFFICINA MENGHINELLI STEFANO         ;W;FVE;Fattura emessa AUTOFFICINA MENGHINELLI STEFAN;2014;036387;00036387;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         1901,54;RI.BA   60 gg fm              ;Fattura emessa                ;Trade                         ;
02094;AUTORICAMBI F.LLI CUZZONI SNC           ;W;FVE;Fattura emessa AUTORICAMBI F.LLI CUZZONI SNC;2014;036388;00036388;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          176,85;RI.BA   60 gg fm              ;Fattura emessa                ;SPI                           ;
05260;BATTERIE A.F.A. DI FOGANTE ROBERTO & C. ;W;FVE;Fattura emessa BATTERIE A.F.A. DI FOGANTE ROB;2014;036389;00036389;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         2073,00;RI.BA   60 gg fm              ;Fattura emessa                ;Trade                         ;
01215;BENNET SPA                              ;B;FVE;Fattura emessa BENNET SPA;2014;036390;00036390;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         1052,58;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
00797;BRAGALINI MARIO SNC                     ;W;FVE;Fattura emessa BRAGALINI MARIO SNC;2014;036391;00036391;30/09/2014;30/09/2014;30/11/2014;Euro                          ;           51,73;RI.BA   60 gg fm              ;Fattura emessa                ;Agente                        ;
04331;BRICO APPIA SRL UNIPERSONALE            ;B;FVE;Fattura emessa BRICO APPIA SRL UNIPERSONALE;2014;036392;00036392;30/09/2014;30/09/2014;31/01/2015;Euro                          ;         2198,68;Bonifico B. 120 gg fm         ;Fattura emessa                ;DO                            ;
04331;BRICO APPIA SRL UNIPERSONALE            ;B;FVE;Fattura emessa BRICO APPIA SRL UNIPERSONALE;2014;036393;00036393;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         2003,70;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
01570;BRICOCENTER ITALIA SRL                  ;B;FVE;Fattura emessa BRICOCENTER ITALIA SRL;2014;036394;00036394;30/09/2014;30/09/2014;31/01/2015;Euro                          ;          392,69;Bonifico B. 120 gg fm         ;Fattura emessa                ;DO                            ;
02876;BRICOFER ITALIA SPA                     ;W;FVE;Fattura emessa BRICOFER ITALIA SPA;2014;036395;00036395;30/09/2014;30/09/2014;31/01/2015;Euro                          ;         3475,88;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
02876;BRICOFER ITALIA SPA                     ;W;FVE;Fattura emessa BRICOFER ITALIA SPA;2014;036396;00036396;30/09/2014;30/09/2014;31/01/2015;Euro                          ;         2271,27;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
02876;BRICOFER ITALIA SPA                     ;W;FVE;Fattura emessa BRICOFER ITALIA SPA;2014;036397;00036397;30/09/2014;30/09/2014;31/01/2015;Euro                          ;         4939,67;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
02876;BRICOFER ITALIA SPA                     ;W;FVE;Fattura emessa BRICOFER ITALIA SPA;2014;036398;00036398;30/09/2014;30/09/2014;31/01/2015;Euro                          ;         2243,65;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
01990;BRICOMAN ITALIA SRL                     ;B;FVE;Fattura emessa BRICOMAN ITALIA SRL;2014;036399;00036399;30/09/2014;30/09/2014;31/01/2015;Euro                          ;         5078,62;Bonifico B. 120 gg fm         ;Fattura emessa                ;GD                            ;
01990;BRICOMAN ITALIA SRL                     ;B;FVE;Fattura emessa BRICOMAN ITALIA SRL;2014;036400;00036400;30/09/2014;30/09/2014;31/01/2015;Euro                          ;         1919,45;Bonifico B. 120 gg fm         ;Fattura emessa                ;GD                            ;
01990;BRICOMAN ITALIA SRL                     ;B;FVE;Fattura emessa BRICOMAN ITALIA SRL;2014;036401;00036401;30/09/2014;30/09/2014;31/01/2015;Euro                          ;          645,18;Bonifico B. 120 gg fm         ;Fattura emessa                ;GD                            ;
02988;BS LUBRIFICANTI SRL                     ;W;FVE;Fattura emessa BS LUBRIFICANTI SRL;2014;036402;00036402;30/09/2014;30/09/2014;31/10/2014;Euro                          ;          849,78;RI.BA   30 gg fm              ;Fattura emessa                ;SPI                           ;
02988;BS LUBRIFICANTI SRL                     ;W;ERB;Emesso ricevuta bancaria 30/09/2014 036402  31/10/2014;2014;000060;00036402;10/10/2014;10/10/2014;31/10/2014;Euro                          ;         -849,78;RI.BA   30 gg fm              ;Emesso ricevuta bancaria      ;SPI                           ;
03097;C.A.T.I. SPA                            ;W;FVE;Fattura emessa C.A.T.I. SPA;2014;036403;00036403;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          644,45;RI.BA   90 gg fm              ;Fattura emessa                ;SPI                           ;
04255;C.I.D.O.L. LUBRIFICANTI SRL             ;W;FVE;Fattura emessa C.I.D.O.L. LUBRIFICANTI SRL;2014;036404;00036404;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         7385,11;RI.BA   90 gg fm              ;Fattura emessa                ;SPI                           ;
05064;CASALI CARS & TRUCKS SRL                ;W;FVE;Fattura emessa CASALI CARS & TRUCKS SRL;2014;036405;00036405;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          366,00;RI.BA   60 gg fm              ;Fattura emessa                ;Trade                         ;
02628;CIRE SPA                                ;W;FVE;Fattura emessa CIRE SPA;2014;036406;00036406;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          827,44;RI.BA   60 gg fm              ;Fattura emessa                ;Modulo Valore Più             ;
02092;COLZANI SRL A SOCIO UNICO               ;W;FVE;Fattura emessa COLZANI SRL A SOCIO UNICO;2014;036407;00036407;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          173,34;RI.BA   60 gg fm              ;Fattura emessa                ;Modulo Valore Più             ;
02476;COMEL SPA                               ;W;FVE;Fattura emessa COMEL SPA;2014;036408;00036408;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1530,93;RI.BA   90 gg fm              ;Fattura emessa                ;SPI                           ;
01188;CONAD DEL TIRRENO SOCIETA' COOPERATIVA  ;B;FVE;Fattura emessa CONAD DEL TIRRENO SOCIETA' COO;2014;036409;00036409;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          405,58;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
00987;COOP ADRIATICA SOC.COOP. A.R.L.         ;B;FVE;Fattura emessa COOP ADRIATICA SOC.COOP. A.R.L;2014;036410;00036410;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          466,63;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00987;COOP ADRIATICA SOC.COOP. A.R.L.         ;B;FVE;Fattura emessa COOP ADRIATICA SOC.COOP. A.R.L;2014;036411;00036411;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          489,05;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00987;COOP ADRIATICA SOC.COOP. A.R.L.         ;B;FVE;Fattura emessa COOP ADRIATICA SOC.COOP. A.R.L;2014;036412;00036412;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         2259,39;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00987;COOP ADRIATICA SOC.COOP. A.R.L.         ;B;FVE;Fattura emessa COOP ADRIATICA SOC.COOP. A.R.L;2014;036413;00036413;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          470,82;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00987;COOP ADRIATICA SOC.COOP. A.R.L.         ;B;FVE;Fattura emessa COOP ADRIATICA SOC.COOP. A.R.L;2014;036414;00036414;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1232,37;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00987;COOP ADRIATICA SOC.COOP. A.R.L.         ;B;FVE;Fattura emessa COOP ADRIATICA SOC.COOP. A.R.L;2014;036415;00036415;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          651,63;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00189;COOP CONS. NORDEST SOC. COOP. VA.       ;B;FVE;Fattura emessa COOP CONS. NORDEST SOC. COOP.;2014;036416;00036416;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          294,26;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00189;COOP CONS. NORDEST SOC. COOP. VA.       ;B;FVE;Fattura emessa COOP CONS. NORDEST SOC. COOP.;2014;036417;00036417;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1713,12;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
00189;COOP CONS. NORDEST SOC. COOP. VA.       ;B;FVE;Fattura emessa COOP CONS. NORDEST SOC. COOP.;2014;036418;00036418;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          295,04;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036419;00036419;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          667,68;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036420;00036420;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          395,28;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036421;00036421;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          395,43;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036422;00036422;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          463,84;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036423;00036423;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          566,96;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036424;00036424;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          664,73;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036425;00036425;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1783,37;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036426;00036426;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          919,34;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036427;00036427;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1428,08;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036428;00036428;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          437,88;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036429;00036429;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          616,71;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036430;00036430;30/09/2014;30/09/2014;31/12/2014;Euro                          ;         1555,67;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01907;COOP CONS. NORDOVEST SOC. CONS. A.R.L.  ;B;FVE;Fattura emessa COOP CONS. NORDOVEST SOC. CONS;2014;036431;00036431;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          951,75;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
01187;COOP ESTENSE SOC. COOP. A.R.L.          ;B;FVE;Fattura emessa COOP ESTENSE SOC. COOP. A.R.L.;2014;036432;00036432;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          285,19;Bonifico B. 90 gg fm          ;Fattura emessa                ;GD                            ;
05117;COOPAR CONSORZIO RICAMBISTI             ;W;FVE;Fattura emessa COOPAR CONSORZIO RICAMBISTI;2014;036433;00036433;30/09/2014;30/09/2014;31/10/2014;Euro                          ;          277,14;RI.BA   30 gg fm              ;Fattura emessa                ;SPI                           ;
05117;COOPAR CONSORZIO RICAMBISTI             ;W;ERB;Emesso ricevuta bancaria 30/09/2014 036433  31/10/2014;2014;000060;00036433;10/10/2014;10/10/2014;31/10/2014;Euro                          ;         -277,14;RI.BA   30 gg fm              ;Emesso ricevuta bancaria      ;SPI                           ;
01575;CORA SPA                                ;B;FVE;Fattura emessa CORA SPA;2014;036434;00036434;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          153,54;Bonifico B. 60 gg fm          ;Fattura emessa                ;Modulo Valore Più             ;
02036;D.R. SRL                                ;W;FVE;Fattura emessa D.R. SRL;2014;036435;00036435;30/09/2014;30/09/2014;30/11/2014;Euro                          ;           71,74;RI.BA   60 gg fm              ;Fattura emessa                ;SPI                           ;
05278;DEAL SRL                                ;W;FVE;Fattura emessa DEAL SRL;2014;036436;00036436;30/09/2014;30/09/2014;30/11/2014;Euro                          ;           14,64;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
02046;DEAR SRL                                ;W;FVE;Fattura emessa DEAR SRL;2014;036437;00036437;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         2189,44;RI.BA   60 gg fm              ;Fattura emessa                ;SPI                           ;
02046;DEAR SRL                                ;W;FVE;Fattura emessa DEAR SRL;2014;036438;00036438;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          533,08;RI.BA   60 gg fm              ;Fattura emessa                ;SPI                           ;
01660;DELLA ROSCIA LUBRIFICANTI SRL           ;W;FVE;Fattura emessa DELLA ROSCIA LUBRIFICANTI SRL;2014;036439;00036439;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          334,55;RI.BA   60 gg fm              ;Fattura emessa                ;Modulo Valore Più             ;
